name	continent	iso_country	iso_region	municipality	iata_code
Manley Hot Springs Airport	NA	US	US-AK	Manley Hot Springs	MLY
Mountain Village Airport	NA	US	US-AK	Mountain Village	MOU
Merrill Field	NA	US	US-AK	Anchorage	MRI
Mekoryuk Airport	NA	US	US-AK	Mekoryuk	MYU
Napakiak Airport	NA	US	US-AK	Napakiak	WNA
Ted Stevens Anchorage International Airport	NA	US	US-AK	Anchorage	ANC
Aniak Airport	NA	US	US-AK	Aniak	ANI
Nenana Municipal Airport	NA	US	US-AK	Nenana	ENN
Funter Bay Seaplane Base	NA	US	US-AK	Funter Bay	FNR
Annette Island Airport	NA	US	US-AK	Annette	ANN
Anvik Airport	NA	US	US-AK	Anvik	ANV
New Stuyahok Airport	NA	US	US-AK	New Stuyahok	KNW
Kobuk Airport	NA	US	US-AK	Kobuk	OBU
Portage Creek Airport	NA	US	US-AK	Portage Creek	PCA
Hoonah Airport	NA	US	US-AK	Hoonah	HNH
Nome Airport	NA	US	US-AK	Nome	OME
Toksook Bay Airport	NA	US	US-AK	Toksook Bay	OOK
Northway Airport	NA	US	US-AK	Northway	ORT
Ralph Wien Memorial Airport	NA	US	US-AK	Kotzebue	OTZ
St George Airport	NA	US	US-AK	St George	STG
Port Clarence Coast Guard Station	NA	US	US-AK	Port Clarence	KPC
Perryville Airport	NA	US	US-AK	Perryville	KPV
Petersburg James A Johnson Airport	NA	US	US-AK	Petersburg	PSG
Port Heiden Airport	NA	US	US-AK	Port Heiden	PTH
Napaskiak Airport	NA	US	US-AK	Napaskiak	PKA
Platinum Airport	NA	US	US-AK	Platinum	PTU
Pilot Point Airport	NA	US	US-AK	Pilot Point	PIP
Point Hope Airport	NA	US	US-AK	Point Hope	PHO
Quinhagak Airport	NA	US	US-AK	Quinhagak	KWN
Nuiqsut Airport	NA	US	US-AK	Nuiqsut	NUI
Arctic Village Airport	NA	US	US-AK	Arctic Village	ARC
Ruby Airport	NA	US	US-AK	Ruby	RBY
Savoonga Airport	NA	US	US-AK	Savoonga	SVA
Deadhorse Airport	NA	US	US-AK	Deadhorse	SCC
Sand Point Airport	NA	US	US-AK	Sand Point	SDP
Shishmaref Airport	NA	US	US-AK	Shishmaref	SHH
Sitka Rocky Gutierrez Airport	NA	US	US-AK	Sitka	SIT
Selawik Airport	NA	US	US-AK	Selawik	WLK
Sleetmute Airport	NA	US	US-AK	Sleetmute	SQL
St Mary's Airport	NA	US	US-AK	St Mary's	KSM
St Paul Island Airport	NA	US	US-AK	St Paul Island	SNP
Sheep Mountain Airport	NA	US	US-AK	Sheep Mountain	SMU
Summit Airport	NA	US	US-AK	Summit	UMM
Sparrevohn LRRS Airport	NA	US	US-AK	Sparrevohn	SVW
Skwentna Airport	NA	US	US-AK	Skwentna	SKW
Soldotna Airport	NA	US	US-AK	Soldotna	SXQ
Eareckson Air Station	NA	US	US-AK	Shemya	SYA
Ralph M Calhoun Memorial Airport	NA	US	US-AK	Tanana	TAL
Tin City Long Range Radar Station Airport	NA	US	US-AK	Tin City	TNC
Teller Airport	NA	US	US-AK	Teller	TLA
Togiak Airport	NA	US	US-AK	Togiak Village	TOG
Tok Airport	NA	US	US-AK	Tok	TKJ
Tatalina LRRS Airport	NA	US	US-AK	Takotna	TLJ
Atqasuk Edward Burnell Sr Memorial Airport	NA	US	US-AK	Atqasuk	ATK
Alakanuk Airport	NA	US	US-AK	Alakanuk	AUK
Umiat Airport	NA	US	US-AK	Umiat	UMT
Unalakleet Airport	NA	US	US-AK	Unalakleet	UNK
Willow Airport	NA	US	US-AK	Willow	WOW
Chevak Airport	NA	US	US-AK	Chevak	VAK
King Cove Airport	NA	US	US-AK	King Cove	KVC
Valdez Pioneer Field	NA	US	US-AK	Valdez	VDZ
Venetie Airport	NA	US	US-AK	Venetie	VEE
Kivalina Airport	NA	US	US-AK	Kivalina	KVL
Beaver Airport	NA	US	US-AK	Beaver	WBQ
Seward Airport	NA	US	US-AK	Seward	SWD
Wrangell Airport	NA	US	US-AK	Wrangell	WRG
Wainwright Airport	NA	US	US-AK	Wainwright	AIN
White Mountain Airport	NA	US	US-AK	White Mountain	WMO
Noatak Airport	NA	US	US-AK	Noatak	WTK
Wasilla Airport	NA	US	US-AK	Wasilla	WWA
Yakutat Airport	NA	US	US-AK	Yakutat	YAK
Punta Colorada Airport	NA	MX	MX-BCS	La Ribera	PCO
Pindiu Airport	OC	PG	PG-MPL	Pindiu	PDI
Akiak Airport	NA	US	US-AK	Akiak	AKI
Allakaket Airport	NA	US	US-AK	Allakaket	AET
Pacific City State Airport	NA	US	US-OR	Pacific City	PFC
Chenega Bay Airport	NA	US	US-AK	Chenega	NCN
Clarks Point Airport	NA	US	US-AK	Clarks Point	CLP
Elim Airport	NA	US	US-AK	Elim	ELI
Kasigluk Airport	NA	US	US-AK	Kasigluk	KUK
Kokhanok Airport	NA	US	US-AK	Kokhanok	KNK
Kotlik Airport	NA	US	US-AK	Kotlik	KOT
Brevig Mission Airport	NA	US	US-AK	Brevig Mission	KTS
Koyukuk Airport	NA	US	US-AK	Koyukuk	KYU
Kwethluk Airport	NA	US	US-AK	Kwethluk	KWT
Robert (Bob) Curtis Memorial Airport	NA	US	US-AK	Noorvik	ORV
Shaktoolik Airport	NA	US	US-AK	Shaktoolik	SKK
South Naknek Nr 2 Airport	NA	US	US-AK	South Naknek	WSN
Fort Yukon Airport	NA	US	US-AK	Fort Yukon	FYU
Emirau Airport	OC	PG	PG-NIK	Emirau Island	EMI
Erave Airport	OC	PG	PG-SHM	Erave	ERE
Garaina Airport	OC	PG	PG-MPL	Garaina	GAR
Gonaili Airport	OC	PG	PG-EBR	Gonaili	GOE
Bapi Airstrip	OC	PG	PG-MPL	Bapi	BPD
Biangabip Airport	OC	PG	PG-WPD	Biangabip	BPK
Sengapi Airstrip	OC	PG	PG-MPM	Sengapi	SGK
Kibuli Airstrip	OC	PG	PG-GPK	Kibuli	KII
Anguganak Airport	OC	PG	PG-SAN	Anguganak	AKG
Tadji Airport	OC	PG	PG-SAN	Aitape	TAJ
Awaba Airport	OC	PG	PG-WPD	Awaba	AWB
Bialla Airport	OC	PG	PG-WBK	Bialla, Matalilu, Ewase	BAA
Chungribu Airport	OC	PG	PG-MPM	Chungribu	CVB
Gasmata Island Airport	OC	PG	PG-WBK	Gasmata Island	GMI
Green River Airport	OC	PG	PG-SAN	Green River	GVI
Hayfields Airport	OC	PG	PG-ESW	Bainyik	HYF
Ihu Airport	OC	PG	PG-GPK	Ihu	IHU
Nissan Island Airport	OC	PG	PG-NSB	Nissan Island	IIS
Jacquinot Bay Airport	OC	PG	PG-EBR	Jacquinot Bay	JAQ
Kandrian Airport	OC	PG	PG-WBK	Kandrian	KDR
Kokoda Airport	OC	PG	PG-NPP	Kokoda	KKD
Kamusi Airport	OC	PG	PG-WPD	Kamusi	KUY
Kawito Airport	OC	PG	PG-WPD	Kawito	KWO
Lumi Airport	OC	PG	PG-SAN	Lumi	LMI
Lake Murray Airport	OC	PG	PG-WPD	Lake Murray	LMY
Obo Airport	OC	PG	PG-WPD	Obo	OBX
Balimo Airport	OC	PG	PG-WPD	Balimo	OPU
Suki Airport	OC	PG	PG-WPD	Suki	SKC
Tufi Airport	OC	PG	PG-NPP	Tufi	TFI
Telefomin Airport	OC	PG	PG-WPD	Telefomin	TFM
Tol Airport	OC	PG	PG-EBR	Tol	TLO
Nuku Airport	OC	PG	PG-SAN	Nuku	UKU
Baimuru Airport	OC	PG	PG-GPK	Baimuru	VMU
Wipim Airport	OC	PG	PG-WPD	Wipim	WPM
Rota International Airport	OC	MP	MP-U-A	Rota Island	ROP
Saipan International Airport	OC	MP	MP-U-A	Saipan Island	SPN
Andersen Air Force Base	OC	GU	GU-U-A	Andersen,Mariana Island	UAM
Antonio B. Won Pat International Airport	OC	GU	GU-U-A	Hag√•t√±a, Guam International Airport	GUM
Tinian International Airport	OC	MP	MP-U-A	Tinian Island	TIQ
Barking Sands Airport	NA	US	US-HI	Kekaha	BKH
Dillingham Airfield	NA	US	US-HI	Mokuleia	HDH
Wheeler Army Airfield	NA	US	US-HI	Wahiawa	HHI
Hana Airport	NA	US	US-HI	Hana	HNM
Kapalua Airport	NA	US	US-HI	Lahaina	JHM
Kalaeloa Airport	NA	US	US-HI	Kapolei	JRF
Kona International At Keahole Airport	NA	US	US-HI	Kailua/Kona	KOA
Lihue Airport	NA	US	US-HI	Lihue	LIH
Kalaupapa Airport	NA	US	US-HI	Kalaupapa	LUP
Molokai Airport	NA	US	US-HI	Kaunakakai	MKK
Waimea Kohala Airport	NA	US	US-HI	Kamuela	MUE
Honolulu International Airport	NA	US	US-HI	Honolulu	HNL
Lanai Airport	NA	US	US-HI	Lanai City	LNY
Kahului Airport	NA	US	US-HI	Kahului	OGG
Port Allen Airport	NA	US	US-HI	Hanapepe	PAK
Bradshaw Army Airfield	NA	US	US-HI	Camp Pohakuloa	BSF
Hilo International Airport	NA	US	US-HI	Hilo	ITO
Upolu Airport	NA	US	US-HI	Hawi	UPP
Kadanwari Airport	AS	PK	PK-SD	Kadanwari	KCF
Eniwetok Airport	OC	MH	MH-ENI	Eniwetok Atoll	ENT
Marshall Islands International Airport	OC	MH	MH-MAJ	Majuro Atoll	MAJ
Bucholz Army Air Field	OC	MH	MH-KWA	Kwajalein	KWA
Paiela Airport	OC	PG	PG-EPW	Paiela	PLE
Henderson Field	OC	UM	UM-71	Sand Island	MDY
Pimaga Airport	OC	PG	PG-SHM	Pimaga	PMP
Point Lay LRRS Airport	NA	US	US-AK	Point Lay	PIZ
Dorado Beach Airport	NA	PR	PR-U-A	Dorado	DDP
Humacao Airport	NA	PR	PR-U-A	Humacao	HUC
Chuuk International Airport	OC	FM	FM-TRK	Weno Island	TKK
Pohnpei International Airport	OC	FM	FM-PNI	Pohnpei Island	PNI
Babelthuap Airport	OC	PW	PW-004	Babelthuap Island	ROR
Kosrae International Airport	OC	FM	FM-KSA	Okat	KSA
Yap International Airport	OC	FM	FM-YAP	Yap Island	YAP
Wake Island Airfield	OC	UM	UM-79	Wake Island	AWK
Port Walter Seaplane Base	NA	US	US-AK	Port Walter	PWR
Perry Island Seaplane Base	NA	US	US-AK	Perry Island	PYL
Kili Airport	OC	MH	MH-KIL	Kili Island	KIO
Raba Raba Airport	OC	PG	PG-MBA	Rabaraba	RBP
Matsu Nangan Airport	AS	TW	TW-X-LK	Nangang Island	LZN
Taitung Airport	AS	TW	TW-TTT	Taitung City	TTT
Lyudao Airport	AS	TW	TW-TTT	Lyudao	GNI
Kaohsiung International Airport	AS	TW	TW-KHH	Kaohsiung City	KHH
Chiayi Airport	AS	TW	TW-CYQ	Chiayi City	CYI
Hengchun Airport	AS	TW	TW-PIF	Hengchung	HCN
Taichung Airport	AS	TW	TW-TXG	Taichung City	TXG
Lanyu Airport	AS	TW	TW-TTT	Orchid Island	KYD
Taichung Ching Chuang Kang Airport	AS	TW	TW-TXG	Taichung City	RMQ
Matsu Beigan Airport	AS	TW	TW-X-LK	Beigan Island	MFK
Tainan Airport	AS	TW	TW-TNN	Tainan City	TNN
Hsinchu Air Base	AS	TW	TW-HSZ	Hsinchu City	HSZ
Makung Airport	AS	TW	TW-PEN	Makung City	MZG
Pingtung North Airport	AS	TW	TW-PIF	Pingtung	PIF
Taipei Songshan Airport	AS	TW	TW-TPE	Taipei City	TSA
Taiwan Taoyuan International Airport	AS	TW	TW-TAO	Taipei	TPE
Wang-an Airport	AS	TW	TW-PEN	Wang-an	WOT
Hualien Airport	AS	TW	TW-HUA	Hualien City	HUN
Red Devil Airport	NA	US	US-AK	Red Devil	RDV
Narita International Airport	AS	JP	JP-12	Tokyo	NRT
Matsumoto Airport	AS	JP	JP-20	Matsumoto	MMJ
Hyakuri Airport	AS	JP	JP-08	Omitama	IBR
Iwo Jima Airport	AS	JP	JP-13		IWO
Kansai International Airport	AS	JP	JP-27	Osaka	KIX
Nanki Shirahama Airport	AS	JP	JP-30	Shirahama	SHM
Kobe Airport	AS	JP	JP-28	Kobe	UKB
Tajima Airport	AS	JP	JP-28	Tajima	TJH
Tokachi-Obihiro Airport	AS	JP	JP-01	Obihiro	OBO
New Chitose Airport	AS	JP	JP-01	Chitose / Tomakomai	CTS
Hakodate Airport	AS	JP	JP-01	Hakodate	HKD
Kushiro Airport	AS	JP	JP-01	Kushiro	KUH
Memanbetsu Airport	AS	JP	JP-01	≈åzora	MMB
Nakashibetsu Airport	AS	JP	JP-01	Nakashibetsu	SHB
Okadama Airport	AS	JP	JP-01	Sapporo	OKD
Rebun Airport	AS	JP	JP-01	Rebun	RBJ
Wakkanai Airport	AS	JP	JP-01	Wakkanai	WKJ
Iki Airport	AS	JP	JP-42	Iki	IKI
Yamaguchi Ube Airport	AS	JP	JP-35	Ube	UBJ
Tsushima Airport	AS	JP	JP-42	Tsushima	TSJ
Monbetsu Airport	AS	JP	JP-01	Monbetsu	MBE
Asahikawa Airport	AS	JP	JP-01	Asahikawa / Hokkaid≈ç	AKJ
Okushiri Airport	AS	JP	JP-01	Okushiri Island	OIR
Rishiri Airport	AS	JP	JP-01	Rishiri	RIS
Yakushima Airport	AS	JP	JP-46	Yakushima	KUM
Fukue Airport	AS	JP	JP-42	Goto	FUJ
Fukuoka Airport	AS	JP	JP-40	Fukuoka	FUK
New Tanegashima Airport	AS	JP	JP-46	Tanegashima	TNE
Kagoshima Airport	AS	JP	JP-46	Kagoshima	KOJ
Miyazaki Airport	AS	JP	JP-45	Miyazaki	KMI
Oita Airport	AS	JP	JP-44	Oita	OIT
Kitaky≈´sh≈´ Airport	AS	JP	JP-40	Kitaky≈´sh≈´	KKJ
Saga Airport	AS	JP	JP-41	Saga	HSG
Kumamoto Airport	AS	JP	JP-43	Kumamoto	KMJ
Nagasaki Airport	AS	JP	JP-42	Nagasaki	NGS
Chubu Centrair International Airport	AS	JP	JP-23	Tokoname	NGO
Amami Airport	AS	JP	JP-46	Amami	ASJ
Okierabu Airport	AS	JP	JP-46	Okinoerabujima	OKE
Kikai Airport	AS	JP	JP-46	Kikai	KKX
Tokunoshima Airport	AS	JP	JP-46	Tokunoshima	TKN
Nagoya Airport	AS	JP	JP-23	Nagoya	NKM
Gifu Airport	AS	JP	JP-21	Gifu	QGU
Komatsu Airport	AS	JP	JP-17	Kanazawa	KMQ
Oki Airport	AS	JP	JP-32	Okinoshima	OKI
Mt. Fuji Shizuoka Airport	AS	JP	JP-22	Makinohara / Shimada	FSZ
Toyama Airport	AS	JP	JP-16	Toyama	TOY
Noto Airport	AS	JP	JP-17	Wajima	NTQ
Hiroshima Airport	AS	JP	JP-34	Hiroshima	HIJ
Okayama Airport	AS	JP	JP-33	Okayama City	OKJ
Izumo Airport	AS	JP	JP-32	Izumo	IZO
Miho Yonago Airport	AS	JP	JP-32	Yonago	YGJ
K≈çchi Ry≈çma Airport	AS	JP	JP-39	Nankoku	KCZ
Matsuyama Airport	AS	JP	JP-38	Matsuyama	MYJ
Osaka International Airport	AS	JP	JP-27	Osaka	ITM
Tottori Airport	AS	JP	JP-31	Tottori	TTJ
Tokushima Airport	AS	JP	JP-36	Tokushima	TKS
Takamatsu Airport	AS	JP	JP-37	Takamatsu	TAK
Iwami Airport	AS	JP	JP-32	Masuda	IWJ
Aomori Airport	AS	JP	JP-02	Aomori	AOJ
Yamagata Airport	AS	JP	JP-06	Yamagata	GAJ
Sado Airport	AS	JP	JP-15	Sado	SDS
Fukushima Airport	AS	JP	JP-07	Sukagawa	FKS
Akita Airport	AS	JP	JP-05	Akita	AXT
Misawa Air Base	AS	JP	JP-02	Misawa	MSJ
Niigata Airport	AS	JP	JP-15	Niigata	KIJ
Odate Noshiro Airport	AS	JP	JP-05	Odate	ONJ
Sendai Airport	AS	JP	JP-04	Sendai	SDJ
Shonai Airport	AS	JP	JP-06	Shonai	SYO
Hachijojima Airport	AS	JP	JP-13	Hachijojima	HAC
Tokyo Heliport	AS	JP	JP-13	Tokyo	QXO
Oshima Airport	AS	JP	JP-13	Izu Oshima	OIM
Miyakejima Airport	AS	JP	JP-13	Miyakejima	MYE
Tokyo International Airport	AS	JP	JP-13	Tokyo	HND
Yokota Air Base	AS	JP	JP-13	Fussa	OKO
Gangneung Airport	AS	KR	KR-42	Gangneung	KAG
Wonju Airport	AS	KR	KR-42	Wonju	WJU
Yangyang International Airport	AS	KR	KR-42	Sokcho / Gangneung	YNY
Jeju International Airport	AS	KR	KR-49	Jeju City	CJU
Jeongseok Airport	AS	KR	KR-49	Jeju Island	JDG
Jinhae Airport	AS	KR	KR-48	Jinhae	CHF
Gimhae International Airport	AS	KR	KR-26	Busan	PUS
Sacheon Air Base	AS	KR	KR-48	Sacheon	HIN
Ulsan Airport	AS	KR	KR-31	Ulsan	USN
Incheon International Airport	AS	KR	KR-28	Seoul	ICN
Gimpo International Airport	AS	KR	KR-11	Seoul	GMP
Pohang Airport	AS	KR	KR-47	Pohang	KPO
Daegu Airport	AS	KR	KR-27	Daegu	TAE
Cheongju International Airport	AS	KR	KR-43	Cheongju	CJJ
Kairuku Airport	OC	PG	PG-CPM	Yule Island	RKU
Naha Airport	AS	JP	JP-47	Naha	OKA
Ishigaki Airport	AS	JP	JP-47	Ishigaki	ISG
Kerama Airport	AS	JP	JP-47	Kerama	KJP
Minami-Daito Airport	AS	JP	JP-47	Minamidait≈ç	MMD
Miyako Airport	AS	JP	JP-47	Miyako City	MMY
Aguni Airport	AS	JP	JP-47	Aguni	AGJ
Ie Jima Airport	AS	JP	JP-47	Ie	IEJ
Hateruma Airport	AS	JP	JP-47	Hateruma	HTR
Kitadaito Airport	AS	JP	JP-47	Kitadait≈çjima	KTD
Shimojishima Airport	AS	JP	JP-47	Shimojishima	SHI
Tarama Airport	AS	JP	JP-47	Tarama	TRA
Yoron Airport	AS	JP	JP-46	Yoronjima	RNJ
Subic Bay International Airport	AS	PH	PH-ZMB	Olongapo City	SFS
Clark International Airport	AS	PH	PH-PAM	Angeles City	CRK
Laoag International Airport	AS	PH	PH-ILN	Laoag City	LAO
Ninoy Aquino International Airport	AS	PH	PH-U-A	Manila	MNL
Legazpi City International Airport	AS	PH	PH-ALB	Legazpi City	LGP
Sangley Point Air Base	AS	PH	PH-CAV	Cavite City	NSP
Allah Valley Airport	AS	PH	PH-SCO	Surallah	AAV
Awang Airport	AS	PH	PH-MAG	Cotabato City	CBO
Francisco Bangoy International Airport	AS	PH	PH-DAV	Davao City	DVO
Bancasi Airport	AS	PH	PH-AGN	Butuan City	BXU
Dipolog Airport	AS	PH	PH-ZAN	Dipolog City	DPL
Cagayan De Oro Airport	AS	PH	PH-MSR	Cagayan De Oro City	CGY
Malabang Airport	AS	PH	PH-LAS	Malabang	MLP
Labo Airport	AS	PH	PH-MSC	Ozamiz City	OZC
Pagadian Airport	AS	PH	PH-ZAS	Pagadian City	PAG
General Santos International Airport	AS	PH	PH-SCO	General Santos	GES
Surigao Airport	AS	PH	PH-SUN	Surigao City	SUG
Zamboanga International Airport	AS	PH	PH-ZAS	Zamboanga City	ZAM
Siargao Airport	AS	PH	PH-SUN	Del Carmen	IAO
Cesar Lim Rodriguez Airport	AS	PH	PH-PLW	Taytay Airport, Sandoval Airport	RZP
Loakan Airport	AS	PH	PH-BEN	Baguio City	BAG
Daet Airport	AS	PH	PH-CAN	Daet	DTE
San Jose Airport	AS	PH	PH-MDC	San Jose	SJI
Naga Airport	AS	PH	PH-CAS	Naga	WNP
Basco Airport	AS	PH	PH-CAG	Basco	BSO
Dr.Juan C. Angara Airport	AS	PH	PH-AUR	Baler	BQA
Tuguegarao Airport	AS	PH	PH-CAG	Tuguegarao City	TUG
Virac Airport	AS	PH	PH-CAT	Virac	VRC
Marinduque Airport	AS	PH	PH-MAD	Gasan	MRQ
Cauayan Airport	AS	PH	PH-ISA	Cauayan City	CYZ
Daniel Z. Romualdez Airport	AS	PH	PH-LEY	Tacloban City	TAC
Iloilo International Airport	AS	PH	PH-ILI	Iloilo City	ILO
Moises R. Espinosa Airport	AS	PH	PH-MAS	Masbate	MBT
Kalibo International Airport	AS	PH	PH-AKL	Kalibo	KLO
Mactan Cebu International Airport	AS	PH	PH-CEB	Lapu-Lapu City	CEB
Ormoc Airport	AS	PH	PH-LEY	Ormoc City	OMC
Puerto Princesa Airport	AS	PH	PH-PLW	Puerto Princesa City	PPS
Roxas Airport	AS	PH	PH-CAP	Roxas City	RXS
Evelio Javier Airport	AS	PH	PH-ANT	San Jose	EUQ
Tagbilaran Airport	AS	PH	PH-BOH	Tagbilaran City	TAG
Romblon Airport	AS	PH	PH-ROM	Romblon	TBH
Francisco B. Reyes Airport	AS	PH	PH-PLW	Coron	USU
Typliy Klyuch Airport	EU	RU	RU-SA	Khandyga	KDY
Lopez Island Airport	NA	US	US-WA	Lopez	LPS
Kenmore Air Harbor Inc Seaplane Base	NA	US	US-WA	Kenmore	KEH
Miramar Airport	SA	AR	AR-B	Miramar	MJR
Colonia Catriel Airport	SA	AR	AR-R	Colonia Catriel	CCT
Comodoro Pierrestegui Airport	SA	AR	AR-E	Concordia	COC
Gualeguaychu Airport	SA	AR	AR-E	Gualeguaychu	GHU
Junin Airport	SA	AR	AR-B	Junin	JNI
General Urquiza Airport	SA	AR	AR-E	Parana	PRA
Islas Malvinas Airport	SA	AR	AR-S	Rosario	ROS
Sauce Viejo Airport	SA	AR	AR-S	Santa Fe	SFN
Jorge Newbery Airpark	SA	AR	AR-C	Buenos Aires	AEP
La Cumbre Airport	SA	AR	AR-X	La Cumbre	LCM
Ingeniero Ambrosio Taravella Airport	SA	AR	AR-X	Cordoba	COR
San Fernando Airport	SA	AR	AR-B	San Fernando	FDO
La Plata Airport	SA	AR	AR-B	La Plata	LPG
El Palomar Airport	SA	AR	AR-B	El Palomar	EPA
Ministro Pistarini International Airport	SA	AR	AR-B	Buenos Aires	EZE
Chos Malal Airport	SA	AR	AR-Q	Chos Malal	HOS
Caviahue Airport	SA	AR	AR-Q	Lafontaine	CVH
Dr. Arturo H. Illia Airport	SA	AR	AR-R	General Roca	GNR
Rincon De Los Sauces Airport	SA	AR	AR-Q	Rincon de los Sauces	RDS
Zapala Airport	SA	AR	AR-Q	Zapala	APZ
El Plumerillo Airport	SA	AR	AR-M	Mendoza	MDZ
Comodoro D.R. Salom√≥n Airport	SA	AR	AR-M	Malargue	LGS
Suboficial Ay Santiago Germano Airport	SA	AR	AR-M	San Rafael	AFA
Catamarca Airport	SA	AR	AR-K	Catamarca	CTC
Vicecomodoro Angel D. La Paz Aragonés Airport	SA	AR	AR-G	Santiago del Estero	SDE
Las Termas Airport	SA	AR	AR-G	Rio Hondo	RHD
Capitan V A Almonacid Airport	SA	AR	AR-F	La Rioja	IRJ
Teniente Benjamin Matienzo Airport	SA	AR	AR-T	San Miguel de Tucuman	TUC
Domingo Faustino Sarmiento Airport	SA	AR	AR-J	San Juan	UAQ
Ceres Airport	SA	AR	AR-S	Ceres	CRR
Area De Material Airport	SA	AR	AR-X	Rio Cuarto	RCU
Villa Dolores Airport	SA	AR	AR-X	Villa Dolores	VDR
Villa Reynolds Airport	SA	AR	AR-D	Villa Reynolds	VME
Valle Del Conlara International Airport	SA	AR	AR-D	Merlo	RLO
Brigadier Mayor D Cesar Raul Ojeda Airport	SA	AR	AR-D	San Luis	LUQ
Corrientes Airport	SA	AR	AR-W	Corrientes	CNQ
Resistencia International Airport	SA	AR	AR-H	Resistencia	RES
Formosa Airport	SA	AR	AR-P	Formosa	FMA
Cataratas Del Iguaz√∫ International Airport	SA	AR	AR-N	Puerto Iguazu	IGR
Paso De Los Libres Airport	SA	AR	AR-W	Paso de los Libres	AOL
Monte Caseros Airport	SA	AR	AR-W	Monte Caseros	MCS
Libertador Gral D Jose De San Martin Airport	SA	AR	AR-N	Posadas	PSS
Salton Sea Airport	NA	US	US-CA	Salton City	SAS
Martin Miguel De Guemes International Airport	SA	AR	AR-A	Salta	SLA
Gobernador Horacio Guzman International Airport	SA	AR	AR-Y	San Salvador de Jujuy	JUJ
Orán Airport	SA	AR	AR-A	Orán	ORA
General Enrique Mosconi Airport	SA	AR	AR-A	Tartagal	TTG
Clorinda Airport	SA	AR	AR-P	Clorinda	CLX
El Dorado Airport	SA	AR	AR-N	El Dorado	ELO
Goya Airport	SA	AR	AR-W	Goya	OYA
Alferez Armando Rodriguez Airport	SA	AR	AR-P	Las Lomitas	LLS
Mercedes Airport	SA	AR	AR-W	Mercedes	MDX
Reconquista Airport	SA	AR	AR-S	Reconquista	RCQ
Curuzu Cuatia Airport	SA	AR	AR-W	Curuzu Cuatia	UZU
El Bolson Airport	SA	AR	AR-R	El Bolson	EHL
General E. Mosconi Airport	SA	AR	AR-U	Comodoro Rivadavia	CRD
El Maiten Airport	SA	AR	AR-U	El Maiten	EMX
Brigadier Antonio Parodi Airport	SA	AR	AR-U	Esquel	EQS
Las Heras Airport	SA	AR	AR-Z	Las Heras	LHS
Cabo F.A.A. H. R. Bord√≥n Airport	SA	AR	AR-R	Ingeniero Jacobacci	IGB
Antoine De St Exupery Airport	SA	AR	AR-R	San Antonio Oeste	OES
Maquinchao Airport	SA	AR	AR-R	Maquinchao	MQD
D. Casimiro Szlapelis Airport	SA	AR	AR-U	Alto Rio Senguerr	ARR
Sierra Grande Airport	SA	AR	AR-R	Sierra Grande	SGV
Almirante Marco Andres Zar Airport	SA	AR	AR-U	Rawson	REL
Gobernador Castello Airport	SA	AR	AR-R	Viedma / Carmen de Patagones	VDM
El Tehuelche Airport	SA	AR	AR-U	Puerto Madryn	PMY
El Calafate Airport	SA	AR	AR-Z	El Calafate	FTE
Puerto Deseado Airport	SA	AR	AR-Z	Puerto Deseado	PUD
Hermes Quijada International Airport	SA	AR	AR-V	Rio Grande	RGA
Piloto Civil N. Fernández Airport	SA	AR	AR-Z	Rio Gallegos	RGL
Malvinas Argentinas Airport	SA	AR	AR-V	Ushuahia	USH
Capitan D Daniel Vazquez Airport	SA	AR	AR-Z	San Julian	ULA
Rio Mayo Airport	SA	AR	AR-U	Rio Mayo	ROY
Perito Moreno Airport	SA	AR	AR-Z	Perito Moreno	PMQ
Gobernador Gregores Airport	SA	AR	AR-Z	Gobernador Gregores	GGS
Jose De San Martin Airport	SA	AR	AR-U	Chubut	JSM
28 De Noviembre Airport	SA	AR	AR-Z	El Turbio	RYO
Santa Cruz Airport	SA	AR	AR-Z	Santa Cruz	RZA
Comandante Espora Airport	SA	AR	AR-B	Bahia Blanca	BHI
Brigadier D.H.E. Ruiz Airport	SA	AR	AR-B	Coronel Suarez	CSZ
Olavarria Airport	SA	AR	AR-B	Olavarria	OVR
General Pico Airport	SA	AR	AR-L	General Pico	GPO
Tres Arroyos Airport	SA	AR	AR-B	Tres Arroyos	OYO
Santa Teresita Airport	SA	AR	AR-B	Santa Teresita	SST
√Åstor Piazzola International Airport	SA	AR	AR-B	Mar del Plata	MDQ
Presidente Peron Airport	SA	AR	AR-Q	Neuquen	NQN
Necochea Airport	SA	AR	AR-B	Necochea	NEC
Comodoro Pedro Zanni Airport	SA	AR	AR-B	Pehuaj√≥	PEH
Santa Rosa Airport	SA	AR	AR-L	Santa Rosa	RSA
San Carlos De Bariloche Airport	SA	AR	AR-R	San Carlos de Bariloche	BRC
Héroes De Malvinas Airport	SA	AR	AR-B	Tandil	TDL
Villa Gesell Airport	SA	AR	AR-B	Villa Gesell	VLG
Cutral-Co Airport	SA	AR	AR-Q	Cutral-Co	CUT
Aviador C. Campos Airport	SA	AR	AR-Q	Chapelco/San Martin de los Andes	CPC
Fazenda Bela Vista Airport	SA	BR	BR-TO	3 Marias	SB2
Conceição do Araguaia Airport	SA	BR	BR-PA	Conceição Do Araguaia	CDJ
Base Aérea Airport	SA	BR	BR-GO	Anápolis	APS
Araraquara Airport	SA	BR	BR-SP	Araraquara	AQA
